FMID,MarketName,Website,Facebook,Twitter,Youtube,OtherMedia,street,city,County,State,zip,Season1Date,Season1Time,Season2Date,Season2Time,Season3Date,Season3Time,Season4Date,Season4Time,lng,lat,Location,Credit,WIC,WICcash,SFMNP,SNAP,Organic,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,Coffee,Beans,Fruits,Grains,Juices,Mushrooms,PetFood,Tofu,WildHarvested,updateTime
1011203,3.6 West Lafayette Farmers Market,http://wlfarmersmarket.com,www.facebook.com/westlafayettefarmersmarket,@WLFarmersMkt,,Instagram: wlfarmersmarket,3065 N Salisbury St,West Lafayette,Tippecanoe,Indiana,47906,05/06/2015 to 10/28/2015,Wed: 3:30 PM-7:00 PM;,,,,,,,-86.915836,40.461469,,Y,Y,N,N,N,-,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,6/4/2015 11:31
1001811,4.5 Sagamore West Farmers Market,http://www.westlafayette.in.gov/farmersmarket,,,,,Cumberland Park,West Lafayette,Tippecanoe,Indiana,47906,May to October,Wed:3:00 pm - 6:30 pm;,,,,,,,-86.9136,40.4445,Private business parking lot,N,Y,Y,Y,N,-,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,5/26/2011 18:36
1010384,5.6 Purdue Farmers Market,http://www.purdue.edu/sustainability/initiatives/food/farmersmarket.html,https://www.facebook.com/PurdueSustainability,https://twitter.com/SustainPurdue,,,Oval Dr,West Lafayette,Tippecanoe,Indiana,47907,05/01/2014 to 10/30/2014,Thu: 11:00 AM-3:00 PM;,,,,,,,-86.914239,40.42583,Educational institution,Y,N,N,N,N,-,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,8/4/2014 12:33
1010421,6.7 Historic Lafayette Farmers Market,http://www.lafayettefarmersmarket.com,https://www.facebook.com/LafayetteFarmersMarket,,,,,Lafayette,Tippecanoe,Indiana,47902,05/03/2014 to 10/25/2014,Sat: 7:30 AM-12:30 PM;,,,,,,,-86.891895,40.417715,Closed-off public street,Y,N,Y,N,N,-,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,Y,N,Y,N,Y,N,N,N,N,8/5/2014 13:00
1011900,20.3 Monticello Farmer's Market,http://www.monticellofarmersmarket.weebly.com,https://www.facebook.com/monticellofarmermarket/,,,,110 N. Main St,Monticello ,White,Indiana,47960,05/03/2016 to 10/25/2016,Tue: 4:00 PM-7:00 PM;,,,,,,,-86.7625086,40.7452318,,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,4/27/2016 10:34
1005925,20.7 Remington Farmers Market,http://www.remingtonindiana.com,,,,,36 S. Ohio St.,Remington,Jasper,Indiana,47977,June to October,Sat:7:30 am - 11:30 am;,,,,,,,-87.1514,40.76,Closed-off public street,N,N,N,N,N,-,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,6/1/2011 15:17
1007247,28.2 Frankfort Farmers Market,,https://www.facebook.com/FrankfortFarmersMarket,,,,Courthouse Square,Frankfort,Clinton,Indiana,46041,06/07/2014 to 10/25/2014,Sat: 8:00 AM-12:00 PM;,,,,,,,-86.511368,40.280691,Local government building grounds,N,Y,N,Y,N,N,Y,N,Y,N,Y,N,N,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,N,N,3/14/2014 13:09
1005007,31.6 Crawfordsville Farmers Market,,https://www.facebook.com/crawfordsvillefarmersmarket,,,,Pike ST. between Washington St. & Walnut St.,Crawfordsville,Montgomery,Indiana,47933,04/18/2015 to 10/31/2015,Sat: 8:00 AM-2:00 PM;,,,,,,,-86.901777,40.040589,,Y,N,N,Y,Y,-,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,N,Y,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,3/20/2015 12:45
1009020,31.9 Rensselaer Farmers Market,,https://www.facebook.com/pages/Rensselaer-Farmers-Market/120400308005878,,,,110 W Harrison St.,Rensselaer,Jasper,Indiana,47978,05/03/2014 to 10/25/2014,Sat: 7:30 AM-11:30 AM;,07/01/2014 to 09/01/2014,Tue: 4:00 PM-6:00 PM;,,,,,-87.1501069,40.9356403,Local government building grounds,N,N,N,N,N,N,Y,N,Y,N,Y,N,Y,Y,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,3/15/2014 1:04
1001148,36.2 Logansport Farmers Market,,,,,,4th and Market Street,Logansport,Cass,Indiana,46947,06/01/2014 to 10/29/2014,Wed: 3:00 PM-6:00 PM;Sat: 8:00 AM-1:00 PM;,,Wed: 3:00 PM-6:00 PM;Sat: 8:00 AM-1:00 PM;,,,,,-86.365328,40.752621,Other,N,N,Y,Y,N,N,Y,N,N,N,Y,N,Y,Y,Y,N,Y,N,N,N,Y,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,4/6/2014 14:11
1016810,40.6 Lebanon City Market,,www.facebook.com/lebanoncitymarket,https://twitter.com/lebanoncitymkt,,,Main Street and Meridian Street,Lebanon ,Boone,Indiana,46052,04/07/2017 to 09/01/2017,Fri: 4:00 PM-8:00 PM;,,,,,,,-86.4680447,40.0475885,,Y,Y,N,Y,Y,-,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,Y,Y,N,Y,N,N,Y,N,N,N,1/24/2017 14:13
1010874,43.8 Kokomo Downtown Farmers' Market,http://www.kokomofarmersmarket.com,www.facebook.com/kokomofarmersmarket,,,www.instagram.com/kokomofarmersmarket,Intersection of Mulberry and Washington Streets,Kokomo,Howard,Indiana,46901,04/25/2015 to 10/10/2015,Sat: 9:00 AM-1:00 PM;,,,,,,,-86.133519,40.488463,,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,N,N,N,3/2/2015 14:29
1007545,48.1 Rockville Produce Auction LLC,,,,,,3300 North 400E,Rockville 47872,Parke County,Indiana,,,,,,,,,,-87.1625,39.8155,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
